-32.523	1
-31.4888	1
-30.4582	2
-29.4312	1
-28.4077	2
-27.3877	1
-26.3712	0
-25.3581	1
-24.3484	3
-23.3422	6
-22.3393	3
-21.3398	2
-20.3436	2
-19.3507	5
-18.3611	2
-17.3748	1
-16.3916	2
-15.4117	4
-14.435	1
-13.4615	4
-12.4911	0
-11.5238	5
-10.5595	1
-9.59839	3
-8.64028	0
-7.68519	1
-6.73309	3
-5.78395	2
-4.83776	1
-3.89449	1
-2.95411	1
-2.0166	0
-1.08194	2
-0.150103	2
0.778936	1
1.7052	2
2.62872	3
3.54951	2
4.46759	4
5.383	2
6.29576	4
7.20589	2
8.11341	1
9.01836	3
9.92074	3
10.8206	3
11.7179	5
12.6128	14
13.5052	10
14.3952	9
15.2827	13
16.1679	14
17.0507	10
17.9312	23
18.8093	36
19.6852	46
20.5588	44
21.4301	49
22.2993	62
23.1662	79
24.031	89
24.8936	133
25.7541	181
26.6125	175
27.4689	221
28.3232	281
29.1754	310
30.0257	372
30.874	436
31.7203	514
32.5647	580
33.4072	642
34.2479	757
35.0866	753
35.9236	833
36.7587	946
37.5921	1001
38.4236	1054
39.2535	1072
40.0817	1246
40.9081	1326
41.7329	1328
42.5561	1415
43.3776	1487
44.1976	1591
45.016	1676
45.8329	1719
46.6482	1827
47.462	1812
48.2744	1834
49.0854	1921
49.8949	2020
50.703	1987
51.5098	2066
52.3152	2160
53.1192	2134
53.922	2255
54.7235	2251
55.5238	2196
56.3228	2378
57.1206	2495
57.9173	2476
58.7128	2538
59.5072	2589
60.3004	2539
61.0926	2821
61.8837	2831
62.6738	2967
63.4629	3250
64.251	3328
65.0382	3494
65.8244	3694
66.6096	3870
67.3941	3922
68.1776	4188
68.9603	4285
69.7422	4360
70.5233	4481
71.3036	4633
72.0832	4374
72.8621	4573
73.6402	4451
74.4178	4396
75.1946	4267
75.9708	4106
76.7465	3992
77.5216	3850
78.2961	3826
79.0701	3674
79.8436	3686
80.6166	3696
81.3892	3542
82.1613	3615
82.933	3512
83.7044	3596
84.4754	3413
85.246	3341
86.0164	3303
86.7865	3249
87.5563	3236
88.3259	3213
89.0953	3063
89.8644	3205
90.6335	3209
91.4024	3071
92.1711	3269
92.9398	3216
93.7084	3126
94.477	3188
95.2456	3220
96.0142	3132
96.7828	3135
97.5514	3159
98.3202	3135
99.089	3119
99.858	3277
100.627	3290
101.396	3269
102.166	3316
102.936	3468
103.706	3419
104.476	3391
105.246	3443
106.017	3430
106.788	3489
107.56	3622
108.332	3487
109.104	3531
109.877	3582
110.651	3721
111.424	3671
112.199	3695
112.974	3754
113.749	3755
114.525	3873
115.302	4015
116.079	4087
116.857	4027
117.635	4024
118.415	4076
119.195	4071
119.975	4260
120.757	4336
121.539	4325
122.323	4378
123.107	4328
123.892	4522
124.678	4394
125.464	4421
126.252	4531
127.041	4503
127.83	4500
128.621	4574
129.413	4497
130.206	4537
131	4505
